url,label,source,last_update,harm_score,type,active
segnidalcielo.it,medical and scientific disinformation,bufale,2018,9,disinformation,10
naturalnews.com,medical and scientific disinformation,bufale,2018,9,disinformation,10
sadefenza.blogspot.com,medical and scientific disinformation,bufale,2018,9,disinformation,10
renovatio21.com,medical and scientific disinformation,bufale,2018,9,disinformation,10
imolaoggi.it,political disinformation,bufale,2018,7,disinformation,10
fascinazione.info,political disinformation,bufale,2018,7,disinformation,10
informare.over-blog.it,political disinformation,bufale,2018,7,disinformation,10
byoblu.com,political disinformation,bufale,2018,7,disinformation,10
mag24.es,political disinformation,bufale,2018,7,disinformation,10
scenarieconomici.it,websites of conspiracy theorists and hoax spreaders,bufale,2018,9,disinformation,10
tankerenemy.com,websites of conspiracy theorists and hoax spreaders,bufale,2018,9,disinformation,10
nocensura.com,websites of conspiracy theorists and hoax spreaders,bufale,2018,9,disinformation,10
voxnews.info,websites of conspiracy theorists and hoax spreaders,bufale,2018,9,disinformation,10
disinformazione.it,websites of conspiracy theorists and hoax spreaders,bufale,2018,9,disinformation,10
centrometeoitaliano.it,websites of conspiracy theorists and hoax spreaders,bufale,2018,9,disinformation,10
maurizioblondet.it,websites of conspiracy theorists and hoax spreaders,bufale,2018,9,disinformation,10
facebook.com/websocialtv,social media sites of conspiracy theorists and hoax spreaders,bufale,2018,9,disinformation,10
inews24.it,misleading,bufalopedia,2020-05-05,8,disinformation,10
betootaadvocate.com,fake news,bufalopedia,2020-05-05,8,disinformation,10
dailybuzzlive.com,fake news,bufalopedia,2020-05-05,8,disinformation,10
empirenews.net,fake news,bufalopedia,2020-05-05,8,disinformation,10
huzlers.com,fake news,bufalopedia,2020-05-05,8,disinformation,10
en.mediamass.net,fake news,bufalopedia,2020-05-05,8,disinformation,10
newsexaminer.net,fake news,bufalopedia,2020-05-05,8,disinformation,10
newyorker.com/humor/borowitz-report,fake news,bufalopedia,2020-05-05,8,disinformation,10
thepoke.co.uk,fake news,bufalopedia,2020-05-05,8,disinformation,10
weeklyworldnews.com,fake news,bufalopedia,2020-05-05,8,disinformation,10
worldnewsdailyreport.com,fake news,bufalopedia,2020-05-05,8,disinformation,10
bitchute.com,close to Qanon,butac,2021-05-18,9,disinformation,10
databaseitalia.it,close to Qanon,butac,2021-05-18,9,disinformation,10
mariagrazias.com,close to Qanon,butac,2021-05-18,9,disinformation,10
neovitruvian.com,close to Qanon,butac,2021-05-18,9,disinformation,10
summit.news,close to Qanon,butac,2021-05-18,9,disinformation,10
thelivingspirits.net,close to Qanon,butac,2021-05-18,9,disinformation,10
vigilantcitizen.com,close to Qanon,butac,2021-05-18,9,disinformation,10
zerohedge.com,close to Qanon,butac,2021-05-18,9,disinformation,10
aprilamente.info,pseudoscience,butac,2021-05-18,9,disinformation,10
ilmeteo.it,pseudoscience,butac,2021-05-18,9,disinformation,10
meteoweb.eu,pseudoscience,butac,2021-05-18,9,disinformation,10
nexusedizioni.it,pseudoscience,butac,2021-05-18,9,disinformation,10
nogeoingegneria.com,pseudoscience,butac,2021-05-18,9,disinformation,10
pianetablunews.it,pseudoscience,butac,2021-05-18,9,disinformation,10
scienzaeconoscenza.it,pseudoscience,butac,2021-05-18,9,disinformation,10
livescience.com,pseudoscience,butac,2021-05-18,9,disinformation,10
100giornidaleoni.it,pseudojournalism and politics,butac,2021-05-18,7,disinformation,10
attivo.news,pseudojournalism and politics,butac,2021-05-18,7,disinformation,10
bastabugie.it,pseudojournalism and politics,butac,2021-05-18,7,disinformation,10
citymilanonews.com,pseudojournalism and politics,butac,2021-05-18,7,disinformation,10
comedonchisciotte.org,pseudojournalism and politics,butac,2021-05-18,7,disinformation,10
detoxed.info,pseudojournalism and politics,butac,2021-05-18,7,disinformation,10
eticamente.net,pseudojournalism and politics,butac,2021-05-18,7,disinformation,10
grandeinganno.it,pseudojournalism and politics,butac,2021-05-18,7,disinformation,10
guarda.link,pseudojournalism and politics,butac,2021-05-18,7,disinformation,10
howtodofor.com,pseudojournalism and politics,butac,2021-05-18,7,disinformation,10
ilfarosulmondo.it,pseudojournalism and politics,butac,2021-05-18,7,disinformation,10
ilprimatonazionale.it,pseudojournalism and politics,butac,2021-05-18,7,disinformation,10
informatitalia.blogspot.com,pseudojournalism and politics,butac,2021-05-18,7,disinformation,10
irresponsabile.com,pseudojournalism and politics,butac,2021-05-18,7,disinformation,10
