url,label,source,last_update,harm_score,type
dionidream.com,medical and scientific disinformation,bufale,2018,9,disinformation
lastella.altervista.org,medical and scientific disinformation,bufale,2018,9,disinformation
segnidalcielo.it,medical and scientific disinformation,bufale,2018,9,disinformation
pianetablunews.wordpress.com,medical and scientific disinformation,bufale,2018,9,disinformation
saltoquantico.org,medical and scientific disinformation,bufale,2018,9,disinformation
autismovaccini.org,medical and scientific disinformation,bufale,2018,9,disinformation
jedanews.it/blog,medical and scientific disinformation,bufale,2018,9,disinformation
naturalnews.com,medical and scientific disinformation,bufale,2018,9,disinformation
notiziespericolate.com,medical and scientific disinformation,bufale,2018,9,disinformation
viaggialowcost.altervista.org,medical and scientific disinformation,bufale,2018,9,disinformation
sadefenza.blogspot.com,medical and scientific disinformation,bufale,2018,9,disinformation
renovatio21.com,medical and scientific disinformation,bufale,2018,9,disinformation
devinformarti.blogspot.it/?m=1,political disinformation,bufale,2018,7,disinformation
imolaoggi.it,political disinformation,bufale,2018,7,disinformation
breaknotizie.com,political disinformation,bufale,2018,7,disinformation
direttanews24.com,political disinformation,bufale,2018,7,disinformation
fascinazione.info,political disinformation,bufale,2018,7,disinformation
tg5stelle.it,political disinformation,bufale,2018,7,disinformation
blogopenyoureyes.altervista.org,political disinformation,bufale,2018,7,disinformation
ilbazarinformazione.blogspot.it,political disinformation,bufale,2018,7,disinformation
informare.over-blog.it,political disinformation,bufale,2018,7,disinformation
notizieinmovimentonews.blogspot.it,political disinformation,bufale,2018,7,disinformation
tg24-ore.com,political disinformation,bufale,2018,7,disinformation
byoblu.com,political disinformation,bufale,2018,7,disinformation
mag24.es,political disinformation,bufale,2018,7,disinformation
sostenitori.info,political and racial hoax,bufale,2018,7,disinformation
sulatestagiannilannes.blogspot.it,websites of conspiracy theorists and hoax spreaders,bufale,2018,9,disinformation
scenarieconomici.it,websites of conspiracy theorists and hoax spreaders,bufale,2018,9,disinformation
tmcrew.org,websites of conspiracy theorists and hoax spreaders,bufale,2018,9,disinformation
tanker-enemy.com,websites of conspiracy theorists and hoax spreaders,bufale,2018,9,disinformation
tankerenemy.com,websites of conspiracy theorists and hoax spreaders,bufale,2018,9,disinformation
nocensura.com,websites of conspiracy theorists and hoax spreaders,bufale,2018,9,disinformation
voxnews.info,websites of conspiracy theorists and hoax spreaders,bufale,2018,9,disinformation
sapereeundovere.com,websites of conspiracy theorists and hoax spreaders,bufale,2018,9,disinformation
informarexresistere.fr,websites of conspiracy theorists and hoax spreaders,bufale,2018,9,disinformation
luogocomune.net/lc,websites of conspiracy theorists and hoax spreaders,bufale,2018,9,disinformation
disinformazione.it,websites of conspiracy theorists and hoax spreaders,bufale,2018,9,disinformation
centrometeoitaliano.it,websites of conspiracy theorists and hoax spreaders,bufale,2018,9,disinformation
informatitalia.blogspot.it,websites of conspiracy theorists and hoax spreaders,bufale,2018,9,disinformation
signoraggio.it,websites of conspiracy theorists and hoax spreaders,bufale,2018,9,disinformation
albainternazionale.blogspot.it,websites of conspiracy theorists and hoax spreaders,bufale,2018,9,disinformation
facebook.com/oggi24ore,websites of conspiracy theorists and hoax spreaders,bufale,2018,9,disinformation
maurizioblondet.it,websites of conspiracy theorists and hoax spreaders,bufale,2018,9,disinformation
informaresenzacensure.blogspot.com,websites of conspiracy theorists and hoax spreaders,bufale,2018,9,disinformation
facebook.com/scienza-di-confine-188189217954979,social media sites of conspiracy theorists and hoax spreaders,bufale,2018,9,disinformation
facebook.com/stopinvasioneclandestina,social media sites of conspiracy theorists and hoax spreaders,bufale,2018,9,disinformation
facebook.com/noncielodicono,social media sites of conspiracy theorists and hoax spreaders,bufale,2018,9,disinformation
facebook.com/robyfanpage.it/?ref=br_rs,social media sites of conspiracy theorists and hoax spreaders,bufale,2018,9,disinformation
facebook.com/sardegnatoday,social media sites of conspiracy theorists and hoax spreaders,bufale,2018,9,disinformation
facebook.com/sadefenza,social media sites of conspiracy theorists and hoax spreaders,bufale,2018,9,disinformation
twitter.com/radiosavana?ref_src=twsrc%5egoogle%7ctwcamp%5eserp%7ctwgr%5eauthor,social media sites of conspiracy theorists and hoax spreaders,bufale,2018,9,disinformation
facebook.com/quello-che-non-ci-dicono-107884204213182,social media sites of conspiracy theorists and hoax spreaders,bufale,2018,9,disinformation
facebook.com/websocialtv,social media sites of conspiracy theorists and hoax spreaders,bufale,2018,9,disinformation
