url,label
BitChute.com,close to Qanon
DataBaseItalia.it,close to Qanon
Mariagrazias.com,close to Qanon
Musicaeanima.com,close to Qanon
NeoVitruvian.com,close to Qanon
summit.news,close to Qanon
thelivingspirits.net,close to Qanon
VigilantCitizen.com,close to Qanon
ZeroHedge.com,close to Qanon
aprilamente.info,pseudoscience
Dionidream.com,pseudoscience
Disquisendo.wordpress.com,pseudoscience
evidenzaliena.mastertopforum.eu,pseudoscience
ecologiasociale.info,pseudoscience
frasideilibri.com,pseudoscience
ilmeteo.it,pseudoscience
meteoweb.eu,pseudoscience
nexusedizioni.it,pseudoscience
nonsiamosoli.net,pseudoscience
nogeoingegneria.com,pseudoscience
pianetablunews.it,pseudoscience
saltoquantico.org,pseudoscience
scienzaeconoscenza.it,pseudoscience
segnidalcielo.it,pseudoscience
livescience.com,pseudoscience
0585News.com,pseudojournalism and politics
100giornidaleoni.it,pseudojournalism and politics
24orenotizie.com,pseudojournalism and politics
5stellenews.com,pseudojournalism and politics
AGENews.eu,pseudojournalism and politics
All-News.tv,pseudojournalism and politics
AllNews24.eu,pseudojournalism and politics
attaccomirato.com,pseudojournalism and politics
attivo.news,pseudojournalism and politics
Bastabugie.it,pseudojournalism and politics
blognews24ore.com,pseudojournalism and politics
Borderlinez.com,pseudojournalism and politics
Breaknotizie.com,pseudojournalism and politics
ByoBlu.com,pseudojournalism and politics
Buonamente.com,pseudojournalism and politics
catenaumana.com,pseudojournalism and politics
Chesuccede.it,pseudojournalism and politics
CityMilanoNews.com,pseudojournalism and politics
ComeDonChisciotte.org,pseudojournalism and politics
Condividilo.org,pseudojournalism and politics
Controinformo.info,pseudojournalism and politics
Corrieredisera.it,pseudojournalism and politics
Curiosandoonline.com,pseudojournalism and politics
DatabaseItalia.it,pseudojournalism and politics
Detoxed.info,pseudojournalism and politics
Direttanews.it,pseudojournalism and politics
Direttanews24.com,pseudojournalism and politics
Divieto.reattivonews.com,pseudojournalism and politics
essere-informati.it,pseudojournalism and politics
Eticamente.net,pseudojournalism and politics
fenixx.org,pseudojournalism and politics
Funvideosonline.info,pseudojournalism and politics
Gazzetta24.com,pseudojournalism and politics
Gazzettanews24.com,pseudojournalism and politics
Giornale24ore.com,pseudojournalism and politics
il-giornale.info,pseudojournalism and politics
giornaleilsole.com,pseudojournalism and politics
ilgiornaleitaliano.it,pseudojournalism and politics
ilgiornalenews.com,pseudojournalism and politics
globo365.info,pseudojournalism and politics
grandeinganno.it,pseudojournalism and politics
Guarda.link,pseudojournalism and politics
Guarda.one,pseudojournalism and politics
HowTodOfOr.com,pseudojournalism and politics
ilbellocheavanza.com,pseudojournalism and politics
ilfarosulmondo.it,pseudojournalism and politics
ilfattodalweb.com,pseudojournalism and politics
ilgiornalenews.com,pseudojournalism and politics
Ilmeglio-delweb.it,pseudojournalism and politics
ilmondoquotidiano.altervista. org,pseudojournalism and politics
IlMovimentoVaAvanti.altervista.org,pseudojournalism and politics
il Notiziario24.com,pseudojournalism and politics
ilprimatonazionale.it,pseudojournalism and politics
il-quotidiano.info,pseudojournalism and politics
imigliori.info,pseudojournalism and politics
Imigliorivideo.co,pseudojournalism and politics
ImolaOggi.it,pseudojournalism and politics
Informatitalia.blogspot.com,pseudojournalism and politics
Informazionelibera.eu,pseudojournalism and politics
Interagisco.net,pseudojournalism and politics
Italiani-informati.com,pseudojournalism and politics
Iozummo.com,pseudojournalism and politics
Irresponsabile.com,pseudojournalism and politics
Italiainmovimento.it,pseudojournalism and politics
italia.imigliori.org,pseudojournalism and politics
Italianotizie24.eu,pseudojournalism and politics
Italiapatriamia.eu,pseudojournalism and politics
Italianosveglia.com,pseudojournalism and politics
italiarialzati.com,pseudojournalism and politics
Itruffatori.blogspot.com,pseudojournalism and politics
jedanews.com,pseudojournalism and politics
Kevideo.eu,pseudojournalism and politics
lacrunadellago.net,pseudojournalism and politics
LaRepubbica.it,pseudojournalism and politics
LaRepubblica.info,pseudojournalism and politics
Lastnews24h.com,pseudojournalism and politics
Last-webs.com,pseudojournalism and politics
Leggimiora.com,pseudojournalism and politics
Libero-notizie.com,pseudojournalism and politics
LiberoGiornale.com,pseudojournalism and politics
Linktoday.it,pseudojournalism and politics
infiltrato.it,pseudojournalism and politics
LiveWebIt.com,pseudojournalism and politics
lolandesevolante.net,pseudojournalism and politics
Lonesto.it,pseudojournalism and politics
Mattino.ch,pseudojournalism and politics
Messaggiero.com,pseudojournalism and politics
Mittdolcino.com,pseudojournalism and politics
Morasta.it,pseudojournalism and politics
NeoVitruvian.com,pseudojournalism and politics
Newscronaca.it,pseudojournalism and politics
Newsitalys.com,pseudojournalism and politics
News24roma.com,pseudojournalism and politics
News24italia.it,pseudojournalism and politics
NoCensura.com,pseudojournalism and politics
NoInvasione.com,pseudojournalism and politics
Notixonline.com,pseudojournalism and politics
Notixweb.com,pseudojournalism and politics
Notizie24h.net,pseudojournalism and politics
Notizieflash.eu,pseudojournalism and politics
Notizieregionali.com,pseudojournalism and politics
Notiziespericolate.com,pseudojournalism and politics
NoBufale.it,pseudojournalism and politics
Notizie-dal-web.it,pseudojournalism and politics
Notizie Universali.it,pseudojournalism and politics
Numero6.org,pseudojournalism and politics
oggi24ore.altervista.org,pseudojournalism and politics
OggiNotizie.info,pseudojournalism and politics
OltreLebarricate.wordpress.com,pseudojournalism and politics
OraZero.org,pseudojournalism and politics
Perdavvero.com,pseudojournalism and politics
PioveGovernoLadro.info,pseudojournalism and politics
politikstube.com,pseudojournalism and politics
Rainews24.live,pseudojournalism and politics
RaffaelePalermoNews.com,pseudojournalism and politics
Rassegnastampa.eu,pseudojournalism and politics
RassegneItalia.info,pseudojournalism and politics
Reattivonews.com,pseudojournalism and politics
Repubblica24.com,pseudojournalism and politics
Ribelli.TV,pseudojournalism and politics
RiscattoNazionale.altervista.org,pseudojournalism and politics
rischiocalcolato.it,pseudojournalism and politics
rivoluzioneoraomaipiu.com,pseudojournalism and politics
Robadapazzi.com,pseudojournalism and politics
sapereeundovere.com,pseudojournalism and politics
Saper-link-news.com,pseudojournalism and politics
Scenarieconomici.it,pseudojournalism and politics
segretodistato.com,pseudojournalism and politics
semplicipensieri.com,pseudojournalism and politics
SenzaCensura.org,pseudojournalism and politics
siamorimastisoli.com,pseudojournalism and politics
Signoraggio.it,pseudojournalism and politics
silenziefalsita.it,pseudojournalism and politics
Skynew.it,pseudojournalism and politics
Skytg24news.com,pseudojournalism and politics
Socialbuzz.it,pseudojournalism and politics
Socialnotixweb.com,pseudojournalism and politics
soloitaliani.com,pseudojournalism and politics
Sostenitori.info,pseudojournalism and politics
Sputtaniamotutti.reattivonews.org,pseudojournalism and politics
Stopeuro.org,pseudojournalism and politics
succedenelmondo.com,pseudojournalism and politics
Summit.news,pseudojournalism and politics
Supernotizie.net,pseudojournalism and politics
thetonicexpress.com,pseudojournalism and politics
tg24-ore.com,pseudojournalism and politics
Tg24italia.com,pseudojournalism and politics
tg-news24.com,pseudojournalism and politics
tg-quotidiano.net,pseudojournalism and politics
Tg5stelle.it,pseudojournalism and politics
Tgcom24news.com,pseudojournalism and politics
TicinoLive.ch,pseudojournalism and politics
Trend-Online.com,pseudojournalism and politics
tuttiicriminidegliimmigrati.com,pseudojournalism and politics
Tutto24.info,pseudojournalism and politics
Tuttoinweb.com,pseudojournalism and politics
Ultimora24.it,pseudojournalism and politics
Videoenotizie.it,pseudojournalism and politics
Videoviraliweb.com,pseudojournalism and politics
Vocedelweb.com,pseudojournalism and politics
VoxNews.online,pseudojournalism and politics
Web-news24.com,pseudojournalism and politics
Webitalia360.com,pseudojournalism and politics
Webtg24.com,pseudojournalism and politics
Wowchevideo.com,pseudojournalism and politics
Zapping2017.myblog.it,pseudojournalism and politics
zonagrigianews.com,pseudojournalism and politics
5ideeinmovimento.blogspot.it,pseudojournalism blogs
aidaa-animaliambiente.blogspot.it,pseudojournalism blogs
albainternazionale.blogspot.it,pseudojournalism blogs
attivistam5snews.blogspot.it,pseudojournalism blogs
benitomussolini.altervista.org,pseudojournalism blogs
blogdieles2.altervista.org,pseudojournalism blogs
blogdieles.altervista.org,pseudojournalism blogs
bloginmovimento.altervista.org,pseudojournalism blogs
blogopenyoureyes.altervista.org,pseudojournalism blogs
controinformo.altervista.org,pseudojournalism blogs
corrieredelmattino.altervista.org,pseudojournalism blogs
cvdiariodelpollinho.altervista.org,pseudojournalism blogs
direttainfo.blogspot.it,pseudojournalism blogs
direttanfo.blogspot.it,pseudojournalism blogs
essenzialmentedonna.altervista.org,pseudojournalism blogs
europeannews.altervista.org,pseudojournalism blogs
facebooknotizia.altervista.org,pseudojournalism blogs
ilbazarinformazione.blogspot.it,pseudojournalism blogs
ilmessagero.altervista.org,pseudojournalism blogs
ilradicale.altervista.org,pseudojournalism blogs
informare.over-blog.it,pseudojournalism blogs
informazionebycuriosity.altervista.org,pseudojournalism blogs
jedasupport.altervista.org,pseudojournalism blogs
lacucinasiciliana.altervista.org,pseudojournalism blogs
lapillolarossa15.altervista.org,pseudojournalism blogs
newstime24.altervista.org,pseudojournalism blogs
nessuna-censura.com,pseudojournalism blogs
notiziaitalica.altervista.org,pseudojournalism blogs
notiziarioeuropeo.altervista.org,pseudojournalism blogs
notiziariosegreto.wordpress.com,pseudojournalism blogs
notizieinmovimentonews.blogspot.it,pseudojournalism blogs
politicanews.altervista.org,pseudojournalism blogs
ripuliamolitalia.altervista.org,pseudojournalism blogs
rollingston.altervista.org,pseudojournalism blogs
sadefenza.blogspot.it,pseudojournalism blogs
siamorimastisoli.today,pseudojournalism blogs
tg24h.altervista.org,pseudojournalism blogs
tg24notizie.altervista.org,pseudojournalism blogs
webnotice.altervista.org,pseudojournalism blogs
webnews24h.it,pseudojournalism blogs
zapping2017.myblog.it,pseudojournalism blogs
cosmofruttariano3m.altervista.org,pseudoscience blogs
curiosityalive.altervista.org,pseudoscience blogs
ecocreando.weebly.com,pseudoscience blogs
guarireoggi.blogspot.it,pseudoscience blogs
ingannati.it,pseudoscience blogs
ilrisvegliodellamente.altervista.org,pseudoscience blogs
lastella.altervista.org,pseudoscience blogs
paradisefruit.altervista.org,pseudoscience blogs
thecancermagazine.blogspot.it,pseudoscience blogs
realscience.altervista.org,pseudoscience blogs
thedayafter2012.blogspot.com,pseudoscience blogs
Alleanzadellasalute.info,pseudomedicine
AsSIS.it,pseudomedicine
Autismovaccini.org,pseudomedicine
BenessereFeed.it,pseudomedicine
Comilva.org,pseudomedicine
EuroSalus.com,pseudomedicine
InformaSalus.it,pseudomedicine
laleva.org,pseudomedicine
nuovamedicinagermanica.it,pseudomedicine
MammaInrete.blogspot.com,pseudomedicine
Medicinenon.it,pseudomedicine
MedNat.org,pseudomedicine
VacciniInforma.com,pseudomedicine
Vivoinsalute.com,pseudomedicine
Attiviamoci.org,conspiracy
Conoscenzealconfine.it,conspiracy
Complottisti.info,conspiracy
Contro.Tv,conspiracy
Disinformazione.it,conspiracy
ECPlanet.org,conspiracy
Effervescienza.com,conspiracy
filosofiaelogos.it,conspiracy
HackTheMatrix.it,conspiracy
ilnavigatorecurioso.it,conspiracy
ilpuntosulmistero.it,conspiracy
Libreidee.org,conspiracy
Liberamenteservo.com,conspiracy
Luogocomune.net,conspiracy
MisteridItalia.it,conspiracy
NoGeoIngegneria.com,conspiracy
Nibiru2012.it,conspiracy
Pandora.TV,conspiracy
tmcrew.org,conspiracy
TankerEnemy.com,conspiracy
terrarealtime.blogspot.com,conspiracy
Toba60.com,conspiracy
ununiverso.it,conspiracy
accademiadellaliberta.blogspot.it,conspiracy blogs
alcyonpleiadi.blogspot.it,conspiracy blogs
altrarealta.blogspot.it,conspiracy blogs
appunti2008.blogspot.it,conspiracy blogs
aurorasito.wordpress.com,conspiracy blogs
compressamente.blogspot.it,conspiracy blogs
controinformoblog.altervista.org,conspiracy blogs
cortesovrana.it,conspiracy blogs
delta-leveritanascoste.blogspot.it,conspiracy blogs
freeondarevolution.blogspot.it,conspiracy blogs
ilnuovomondodanielereale.blogspot.it,conspiracy blogs
ilsapereepotere.blogspot.it,conspiracy blogs
ilsapereepotere2.blogspot.com,conspiracy blogs
jhwhinri.blogspot.it,conspiracy blogs
laveritadininconaco.altervista.org,conspiracy blogs
madreterra.myblog.it,conspiracy blogs
mondonews1.blogspot.it,conspiracy blogs
neovitruvian.wordpress.com,conspiracy blogs
notiziedalpopolo.altervista.org,conspiracy blogs
nwonuovoordinemondiale.wordpress.com,conspiracy blogs
olivieromannucci.blogspot.it,conspiracy blogs
paoloferrarocdd.blogspot.it,conspiracy blogs
pianetax.wordpress.com,conspiracy blogs
presadicoscienza.altervista.org,conspiracy blogs
