url,label,political_category,fb_id,unavailable_id,macedonian
21stcenturywire.com,left bias,left,182032255155419,,0
4threvolutionarywar.wordpress.com,left bias,left,,,0
aattp.org,left bias,left,108038612554992,,0
abeldanger.net,left bias,left,,,0
abncnews.com,left bias,left,197579543998318,,0
act.tv,left bias,left,153418591515382,,0
activistpost.com,left bias,left,128407570539436,,0
addictinginfo.org,left bias,left,146422995398181,,0
againstcronycapitalism.org,left bias,left,222149727806378,,0
ahtribune.com,left bias,left,433443503516781,,0
alexanderhiggins.com,left bias,left,827052560703226,,0
alexpoucher.com,left bias,left,personal_page,100003519797376,0
alternet.org,left bias,left,17108852506,,0
americablog.com,left bias,left,60190486539,,0
americannewsx.com,left bias,left,unavailable,357615034424156,0
anotherdayintheempire.com,left bias,left,personal_page,100000639240129,0
antiwar.com,left bias,left,,,0
attn.com,left bias,left,160389977329803,,0
beingliberal.org,left bias,left,177486166274,,0
bients.com,left bias,left,unavailable,168450746906756,0
billmoyers.com,left bias,left,114528955231791,,0
bipartisanreport.com,left bias,left,253546571389025,,0
blackagendareport.com,left bias,left,104037195986,,0
blacklistednews.com,left bias,left,235651699018,,0
blue-route.org,left bias,left,unavailable,636270796408657,0
bluedotdaily.com,left bias,left,1046400185439764,,0
bluedotdaily.com,left bias,left,1782469058666070,,0
bluenationreview.com,left bias,left,268311603350722,,0
bluetribune.com,left bias,left,188464111175168,,0
c4ss.org,left bias,left,117719681572756,,0
commondreams.org,left bias,left,32109457015,,0
consortiumnews.com,left bias,left,150931404928776,,0
countercurrents.org,left bias,left,81307324765,,0
counterinformation.wordpress.com,left bias,left,149873221834973,,0
counterpropa.com,left bias,left,305147709883415,,0
counterpunch.com,left bias,left,172470146144666,,0
counterpunch.org,left bias,left,172470146144666,,0
crooksandliars.com,left bias,left,33455892182,,0
dailygotham.com,left bias,left,,,0
dailykos.com,left bias,left,43179984254,,0
dailyleak.org,left bias,left,,,0
dailynewsbin.com,left bias,left,879307625456770,,0
deadstate.org,left bias,left,479687202044787,,0
democracyjournal.org,left bias,left,188165324600426,,0
democraticreview.com,left bias,left,,,0
democraticunderground.com,left bias,left,455410617809655,,0
democratizeus.com,left bias,left,1486860644672164,,0
demos.org,left bias,left,46587884802,,0
dieharddemocrat.com,left bias,left,1036841469686059,,0
dissent.tv,left bias,left,540157359523493,,0
dissentmagazine.org,left bias,left,54789869630,,0
economyincrisis.org,left bias,left,456512747696523,,0
egbertowillies.com,left bias,left,121664761245469,,0
equalvoiceforfamilies.org,left bias,left,22931596946,,0
everydayfeminism.com,left bias,left,392570397445248,,0
fair.org,left bias,left,12641323331,,0
feministe.us,left bias,left,,,0
feministing.com,left bias,left,20744822491,,0
forwardprogressives.com,left bias,left,551987771496911,,0
freakoutnation.com,left bias,left,152308008195941,,0
glennbeckunhinged.com,left bias,left,178739542138433,,0
goneleft.com,left bias,left,1641262382839336,,0
gopocalypse.org,left bias,left,352859651422892,,0
greenvillegazette.com,left bias,left,1374461649456926,,0
ifyouonlynews.com,left bias,left,762592150466931,,0
informationclearinghouse.info,left bias,left,248468565222626,,0
inthesetimes.com,left bias,left,44667476574,,0
itsgoingdown.org,left bias,left,1146656498733605,,0
jacobinmag.com,left bias,left,143021112391265,,0
joemygod.com,left bias,left,163121917034901,,0
juancole.com,left bias,left,55803739618,,0
justicewriters.com,left bias,left,729272437222215,,0
latinorebels.com,left bias,left,186457858051439,,0
leanleft.com,left bias,left,,,0
learnprogress.org,left bias,left,,,0
leftaction.com,left bias,left,139398939438430,,0
leftliberal.com,left bias,left,unavailable,324090427983707,0
leftscoop.com,left bias,left,704811763010803,,0
leftsideofhistory.com,left bias,left,1202861959767715,,0
leftwingnation.org,left bias,left,134176153323755,,0
liberalamerica.org,left bias,left,unavailable,180213475460766,0
liberalmountain.com,left bias,left,968877143183195,,0
liberalplug.com,left bias,left,610045389164725,,0
liberalsociety.com,left bias,left,610045389164725,,0
lidblog.com,left bias,left,961038380624167,,0
meanlefthook.com,left bias,left,306406853053018,,0
mediamatters.org,left bias,left,26595441166,,0
michaelmoore.com,left bias,left,24674986856,,0
mintpressnews.com,left bias,left,277613075615568,,0
modernliberals.com,left bias,left,282183791902004,,0
moonofalabama.org,left bias,left,,,0
motherjones.com,left bias,left,7642602143,,0
msnbc.com,left bias,left,273864989376427,,0
nationalmemo.com,left bias,left,210357995667559,,0
nationofchange.org,left bias,left,160260190686110,,0
newcenturytimes.com,left bias,left,1672814509645693,,0
newpol.org,left bias,left,208799592506432,,0
news.groopspeak.com,left bias,left,369527829841639,,0
