url,label
AmericanNews.com,fake/hoax
BigAmericanNews.com,fake/hoax
twitter.com/capnews,fake/hoax
ChristWire.org,fake/hoax
CivicTribune.com,fake/hoax
ClickHole.com,fake/hoax
CreamBMP.com,fake/hoax
DCGazette.com,fake/hoax
DailyCurrant.com,fake/hoax
DCClothesLine.com,fake/hoax
DerfMagazine.com,fake/hoax
DrudgeReport.com.co,fake/hoax
DuhProgressive.com,fake/hoax
EmpireNews.com,fake/hoax
EnduringVision.com,fake/hoax
www.cc.com/indecision,fake/hoax
MSNBC.co,fake/hoax
MSNBC.website,fake/hoax
MediaMass.net,fake/hoax
NationalReport.net,fake/hoax
NewsBiscuit.com,fake/hoax
News-Hound.com,fake/hoax
NewsMutiny.com,fake/hoax
PoliticalEars.com,fake/hoax
Private-eye.co.uk,fake/hoax
RealNewsRightNow.com,fake/hoax
RileNews.com,fake/hoax
Sprotspickle.com,fake/hoax
TheNewsNerd.com,fake/hoax
TheUsPatriot.com,fake/hoax
WitScience.org,fake/hoax
TheOnion.com,satire
AmplifyingGlass.com,satire
Duffleblog.com,satire
EmpireSports.co,satire
GomerBlog.com,satire
Huzlers.com,satire
iTagLive.com/,satire
Newslo.com,satire
NahaDaily.com,satire
RockCityTimes.com,satire
TheLapine.ca,satire
TheSpoof.com,satire
WeeklyWorldNews.com,satire
WorldNewsDailyReport.com,satire
21stCenturyWire.com,clickbait
ActivistPost.com,clickbait
BeforeItsNews.com,clickbait
BigPZone.com,clickbait
Chronicle.su,clickbait
CoastToCoastAM.com,clickbait
ConsciousLifeNews.com,clickbait
ConservativeOutfitters.com,clickbait
ConspiracyWire (WideAwakeAmerica.com),clickbait
CountdownToZeroTime.com,clickbait
CounterPsyOps.com,clickbait
DailyBuzzLive.com,clickbait
Disclose.tv,clickbait
FPRNradio.com,clickbait
GeoEngineeringWatch.org,clickbait
GlobalResearch.ca,clickbait
GovtSlaves.info,clickbait
GulagBound.com,clickbait
JonesReport.com,clickbait
HangTheBankers.com,clickbait
HumansAreFree.com,clickbait
Infowars.com,clickbait
IntelliHub.com,clickbait
LewRockwell.com,clickbait
LibertyTalk.fm,clickbait
LibertyVideos.org,clickbait
LibertyMovementRadio.com,clickbait
MegynKelly.us,clickbait
NaturalNews.com,clickbait
NewsWire-24.com,clickbait
NoDisInfo.com,clickbait
NowTheEndBegins.com,clickbait
PakAlertPress.com,clickbait
PoliticalBlindSpot.com,clickbait
PrisonPlanet.com,clickbait
PrisonPlanet.tv,clickbait
RealFarmacy.com,clickbait
RedFlagNews.com,clickbait
TruthFrequencyRadio.com,clickbait
TheDailySheeple.com,clickbait
TheRunDownLive.com,clickbait
UnconfirmedSources.com,clickbait
VeteransToday.com,clickbait
WakingUpWisconsin.com,clickbait
WorldTruth.tv,clickbait
