url,label
2nd Amendment Daily News (secondamendmentdaily.com),questionable sources
3CCorp.net,questionable sources
100% Fed up (100percentfedup.com),questionable sources
10News.one (www.10news.one),questionable sources
12minutos.com,questionable sources
24 News (us24news.com/),questionable sources
A Voice for Men (www.avoiceformen.com),questionable sources
Acting Man (Acting-man.com),questionable sources
Action News 3,questionable sources
Activist Mommy (activistmommy.com),questionable sources
Adams County Times (adamscountytimes.com),questionable sources
Age of Shitlords (https://ageofshitlords.com/),questionable sources
AjuaNews.com,questionable sources
Al Arabiya (english.alarabiya.net),questionable sources
Albany Standard (albanystandard.com),questionable sources
Al Bawaba (www.albawaba.com),questionable sources
All News Pipeline (allnewspipeline.com),questionable sources
Alliance Defending Freedom (www.adflegal.org),questionable sources
Al Manar (english.almanar.com.lb),questionable sources
Al- Masdar News (almasdarnews.com),questionable sources
Alpha News (alphanewsmn.com),questionable sources
AltRight.com,questionable sources
Alt-Right TV,questionable sources
America Daily (americadaily.com),questionable sources
America Max News (americamaxnews.com),questionable sources
America Talks with David Zublick (https://americatalks.com),questionable sources
American Action News (americanactionnews.com),questionable sources
American College of Pediatricians (www.acpeds.org),questionable sources
American Conservative Media (americanconservativemedia.com),questionable sources
American Conservative Movement (americanconservativemovement.com),questionable sources
American Family Association (www.afa.net),questionable sources
American Freedom Fighters (www.americasfreedomfighters.com),questionable sources
American Journal Review (www.americanjournalreview.com),questionable sources
American Lookout (americanlookout.com),questionable sources
American Patriot Daily (www.americanpatriotdaily.com),questionable sources
American People Daily (americanpeopledaily.com),questionable sources
American Principles Project (americanprinciplesproject.org),questionable sources
American Renaissance Magazine (www.amren.com),questionable sources
"American Society for the Defense of Tradition, Family, and Property (www.tfp.org)",questionable sources
American Thinker (www.americanthinker.com),questionable sources
American Truth Today (americantruthtoday.com),questionable sources
American Web Media (AWM) (awm.com),questionable sources
Americans Are Pissed (americansarepissed.com),questionable sources
Americans for Truth (https://americansfortruth.com),questionable sources
America’s News Source (americasnewssource.com),questionable sources
Amity Underground,questionable sources
Analyzing America (analyzingamerica.org),questionable sources
Anonymous News (www.anonews.co),questionable sources
Antelope Valley Today (antelopevalleytoday.com),questionable sources
Arab News (www.arabnews.com),questionable sources
Archaeology World (archaeology-world.com),questionable sources
Association of American Physicians and Surgeons (AAPS) (aapsonline.org),questionable sources
Athens Reporter (athensreporter.com),questionable sources
ATL Standard (atlstandard.com),questionable sources
Auburn Times (auburntimes.com),questionable sources
Backroom Buzz (backroombuzz.com),questionable sources
Baldwin Times (baldwintimes.com),questionable sources
Banned Information (bannedinformation.com),questionable sources
Bare Naked Islam (www.barenakedislam.com),questionable sources
Basnews Agency (basnews.com),questionable sources
BB4SP (bb4sp.com),questionable sources
Bbarta24 (en.bbarta24.net),questionable sources
BDnews24.com,questionable sources
Before It’s News (beforeitsnews.com),questionable sources
Beijing Review (www.bjreview.com),questionable sources
Benton Times (bentontimes.com),questionable sources
Best Daily News (bestdailynews.info),questionable sources
Big League Politics (bigleaguepolitics.com),questionable sources
BillionBibles.org (http://www.billionbibles.org),questionable sources
Bipartisan Report (www.bipartisanreport.com),questionable sources
BitChute (bitchute.com),questionable sources
Black Eye Politics (https://blackeyepolitics.com),questionable sources
Black Genocide (www.blackgenocide.org),questionable sources
Blacknews.com,questionable sources
Black Pigeon Speaks (blackpigeonspeaks.com),questionable sources
Blingnews.com (www.blingnews.com),questionable sources
Blue Dot Daily (www.bluedotdaily.com),questionable sources
Blunt Force Truth (bluntforcetruth.com),questionable sources
Bongino.com,questionable sources
Bossip (bossip.com),questionable sources
Breaking911 (breaking911.com),questionable sources
Breaking Christian News (breakingchristiannews.com),questionable sources
Breaking First (breakingfirst.com),questionable sources
Breakingnews247.net,questionable sources
Breaking News House (breakingnewshouse.com),questionable sources
Breaking Wide (breakingwide.com),questionable sources
Breitbart (www.breitbart.com),questionable sources
Brevard Sun (brevardsun.com),questionable sources
Bridgeport Times (bridgeporttimes.com),questionable sources
Britain First,questionable sources
Caixin Global (caixinglobal.com),questionable sources
Caldron Pool (caldronpool.com),questionable sources
Canada Free Press (canadafreepress.com),questionable sources
Cap News (cap-news.com),questionable sources
CCTV International (CCTV-9) (english.cctv.com),questionable sources
Censored.News (https://www.censored.news/),questionable sources
Centennial State News (centennialstatenews.com),questionable sources
Center for Immigration Studies (www.trueactivist.com),questionable sources
Center for Research of Radicalism and National Security (researchantisemitism.ca),questionable sources
Center for Security Policy (www.centerforsecuritypolicy.org),questionable sources
Central Broward News (centralbrowardnews.com),questionable sources
Central Colorado News (centralcoloradonews.com),questionable sources
Central Georgia News (centralgeorgianews.com),questionable sources
Central OC Times (centraloctimes.com),questionable sources
Cerno (Cernovich.com) (cernovich.com),questionable sources
Checkpoint Asia (https://www.checkpointasia.net),questionable sources
Chico Times (chicotimes.com),questionable sources
China Daily (www.chinadaily.com.cn),questionable sources
China Global Television Network (america.cgtn.com/),questionable sources
Christian Action Network (christianaction.org),questionable sources
Church Militant (www.churchmilitant.com),questionable sources
Clarion Project (clarionproject.org),questionable sources
Clash Daily (clashdaily.com),questionable sources
Clay County Times (claycotimes.com),questionable sources
Clover Chronicle (https://cloverchronicle.com),questionable sources
CNS News (www.cnsnews.com),questionable sources
Coachella Today (coachellatoday.com),questionable sources
Coastal GA News (coastalganews.com),questionable sources
Cobb Reporter (cobbreporter.com),questionable sources
Coconino News (coconinonews.com),questionable sources
Competitive Enterprise Institute (cei.org),questionable sources
Concerned Women for America (concernedwomen.org),questionable sources
Conservapedia (www.conservapedia.com),questionable sources
Conservative Ammo (conservativeammo.com/),questionable sources
Conservative Beaver (conservativebeaver.com),questionable sources
Conservative Buzz,questionable sources
Conservative Byte (conservativebyte.com),questionable sources
Conservative Daily News (www.conservativedailynews.com),questionable sources
Conservative Daily Post (conservativedailypost.com),questionable sources
Conservative Firing Line (conservativefiringline.com),questionable sources
Conservative Free Press (www.conservativefreepress.com),questionable sources
Conservative Matrix (conservativematrix.com),questionable sources
Conservative Media (conservativemedia.com),questionable sources
Conservative Politics Today (facebook.com/conservativepoliticstoday),questionable sources
Conservative Post (conservativepost.com),questionable sources
Conservative Tribune (www.westernjournal.com),questionable sources
Conservatives Today (conservativetoday.org),questionable sources
Constitution State News (constitutionstatenews.com),questionable sources
Corona Transition (corona-transition.org),questionable sources
Council for American-Islamic Relations (CAIR) (www.cair.com),questionable sources
Council for the National Interest (www.councilforthenationalinterest.org),questionable sources
Council of Conservative Citizens,questionable sources
Daily Buzz Live (dailybuzzlive.com),questionable sources
Daily Headlines (dailyheadlines.net),questionable sources
Daily Mail (www.dailymail.co.uk),questionable sources
Daily Political Newswire (dailypoliticalnewswire.com),questionable sources
Daily Star UK (www.dailystar.co.uk),questionable sources
Daily Stormer (dailystormer.name),questionable sources
Daily Surge (dailysurge.com),questionable sources
DavidHarrisJr.com,questionable sources
DC Alert,questionable sources
DC Blue Dot (www.dcbluedot.com),questionable sources
DC Dirty Laundry (dcdirtylaundry.com),questionable sources
DC Gazette (thedcgazette.com),questionable sources
DEBKAfile (www.debka.com),questionable sources
Decatur Times (decaturtimes.com),questionable sources
Deep Left Field (deepleftfield.info),questionable sources
Defend Europa (www.defendevropa.org),questionable sources
Defiant America (defiantamerica.com),questionable sources
DeKalb GA News (dekalbganews.com),questionable sources
Democratic National Committee (DNC) (democrats.org),questionable sources
Denver City Wire (denvercitywire.com),questionable sources
Deplorable Kel (deplorablekel.com),questionable sources
Discover the Networks (www.discoverthenetworks.org),questionable sources
DJHJ Media (djhjmedia.com),questionable sources
DNyuz (dnyuz.com),questionable sources
Duval Times (duvaltimes.com),questionable sources
Eagle Rising (eaglerising.com),questionable sources
East Alameda News (eastalamedanews.com),questionable sources
East Arapahoe News (eastarapahoenews.com),questionable sources
East Arizona News (eastarizonanews.com),questionable sources
East Central Alabama News (ecalabamanews.com),questionable sources
East Contra Costa News (eastcontracostanews.com),questionable sources
East Hillsborough News (easthillsboroughnews.com),questionable sources
East Little Rock Times (eastlittlerocktimes.com),questionable sources
East Panhandle News (eastpanhandlenews.com),questionable sources
East San Diego News (eastsandiegonews.com),questionable sources
East SBV Times (eastsbvtimes.com),questionable sources
East SFV Today (eastsfvtoday.com),questionable sources
East Sierra News (eastsierranews.com),questionable sources
East Ventura News (eastventuranews.com),questionable sources
East Volusia News (eastvolusianews.com),questionable sources
Emerald Coast Times (emeraldcoasttimes.com),questionable sources
Emirates 24/7 (emirates247.com),questionable sources
En-volve (en-volve.com),questionable sources
End the Fed (endthefed.org),questionable sources
Every Legal Vote (everylegalvote.com),questionable sources
Everytown for Gun Safety (everytown.org/),questionable sources
Evil.News,questionable sources
Experience Awareness (AbcBusinessNews.com),questionable sources
Explain Life (explainlife.com),questionable sources
Exposing Government (www.exposinggovernment.com),questionable sources
Fact Checking Turkey (factcheckingturkey.com),questionable sources
Facts Wanted (factswanted.com),questionable sources
Family Research Council (www.frc.org),questionable sources
Family Survival Headlines (familysurvivalheadlines.com),questionable sources
Fars News,questionable sources
Fash the Nation (fashthenation.com),questionable sources
Fayetteville Standard (fayettevillestandard.com),questionable sources
FBNewsCycle,questionable sources
Femalista (femalista.com),questionable sources
Filming Cops (filmingcops.com),questionable sources
First State Times (firststatetimes.com),questionable sources
FL24.net,questionable sources
Flag & Cross (flagandcross.com),questionable sources
Flex Mag (www.usafortrumponline.com),questionable sources
Focus on the Family (www.focusonthefamily.com),questionable sources
Foreign Policy Initiative (www.foreignpolicyi.org),questionable sources
For the Right News (fortherightnews.com),questionable sources
Fort Smith Times (fortsmithtimes.com),questionable sources
Frank Speech (frankspeech.com),questionable sources
Freedom News Report (freedomnewsreport.com),questionable sources
Freedom Outpost,questionable sources
FreedomProject Media,questionable sources
Free West Media (freewestmedia.com),questionable sources
Fresno Leader (fresnoleader.com),questionable sources
Fria Tider (Free Times) (friatider.se),questionable sources
FrontPage Magazine (www.frontpagemag.com),questionable sources
Gadsden Today (gadsdentoday.com),questionable sources
Gatestone Institute (www.gatestoneinstitute.org),questionable sources
Geller Report (pamelageller.com),questionable sources
Gen Z Conservative (genzconservative.com),questionable sources
Geology In (www.geologyin.com),questionable sources
Georgia Mountain News (georgiamountainnews.com),questionable sources
Ghost.Report,questionable sources
Girls Just Wanna Have guns (girlsjustwannahaveguns.com),questionable sources
Globe Magazine (www.globemagazine.com),questionable sources
Gnews (gnews.org),questionable sources
GOD Good Lord Above (thegoodlordabove.com),questionable sources
Godfather Politics (godfatherpolitics.com),questionable sources
Gold Country Today (goldcountrytoday.com),questionable sources
Golden State Today (goldenstatetoday.com),questionable sources
GoodGopher (www.goodgopher.com),questionable sources
Gop.gov House Republicans (gop.gov),questionable sources
Grain of Truth (grainoftruth.ca),questionable sources
Grand Canyon Times (grandcanyontimes.com),questionable sources
Grand Junction Times (grandjunctiontimes.com),questionable sources
Great American Daily (greatamericandaily.com),questionable sources
Great American Republic (https://greatamericanrepublic.com),questionable sources
GreatReject (greatreject.org),questionable sources
Grunge.com,questionable sources
Gucmakale.com,questionable sources
Gulf News (gulfnews.com),questionable sources
Hang The Bankers (www.hangthebankers.com),questionable sources
Hannity.com,questionable sources
Hard News (https://hardnews.network),questionable sources
Hartford Reporter (hartfordreporter.com),questionable sources
Hawar News Agancy (en.hawarnews.com),questionable sources
Head Topics (headtopics.com),questionable sources
Here is the Evidence (hereistheevidence.com),questionable sources
Hernando Reporter (hernandoreporter.com),questionable sources
Heartland Institute (www.heartland.org),questionable sources
Hogg Watch (www.hoggwatch.com),questionable sources
Hoodsite,questionable sources
Hot Springs Times (hotspringstimes.com),questionable sources
Housatonic Valley News (housatonicvalleynews.com),questionable sources
Huntsville Leader (huntsvilleleader.com),questionable sources
iHarare (iharare.com),questionable sources
I Hate the Media (www.ihatethemedia.com),questionable sources
I love my Freedom (ilovemyfreedom.org),questionable sources
"I, Hypocrite (ihypocrite.net)",questionable sources
Illegal Alien Crime Report (www.illegalaliencrimereport.com),questionable sources
Illicit Info (illicitinfo.com),questionable sources
IMOwired (imowired.com),questionable sources
Imperial CA News (imperialcanews.com),questionable sources
InfoGalactic (infogalactic.com),questionable sources
Independent Sentinel (www.independentsentinel.com),questionable sources
Information Liberation (www.informationliberation.com),questionable sources
InfoRos.ru,questionable sources
InfoScum (www.infoscum.com),questionable sources
Inner Strength Zone (innerstrength.zone),questionable sources
Institute for Historical Review (IHR) (ihr.org),questionable sources
Interior Alaska News (interioralaskanews.com),questionable sources
International Organization for the Family (IOF) (profam.org),questionable sources
Jefferson Reporter (jeffersonreporter.com),questionable sources
Jew Watch (http://jewwatch.com/),questionable sources
Joe for America (joeforamerica.com),questionable sources
Jonesboro Times (jonesborotimes.com),questionable sources
Judicial Watch (www.judicialwatch.org),questionable sources
Just the Facts (www.justthefacts.org),questionable sources
Kent County Today (kentcountytoday.com),questionable sources
Kern County Times (kerncountytimes.com),questionable sources
Key West Reporter (keywestreporter.com),questionable sources
Kings County Times (kingscountytimes.com),questionable sources
Knights Templar International (knightstemplarinternational.com),questionable sources
Korean Central News Agency,questionable sources
LADbible,questionable sources
LA Harbor News (laharbornews.com),questionable sources
Lake Tahoe Sun (laketahoesun.com),questionable sources
Lancaster Courier (lancastercourier.com),questionable sources
Larimer News (larimernews.com),questionable sources
Last Frontier News (lastfrontiernews.com),questionable sources
LAX Leader (laxleader.com),questionable sources
Left Action (leftaction.com),questionable sources
Left Exposed (leftexposed.org),questionable sources
Lew Rockwell (www.lewrockwell.com),questionable sources
Liberty Bell (libertybell.com),questionable sources
Liberty Hangout (libertyhangout.org),questionable sources
Liberty Talk.fm (libertytalk.fm),questionable sources
Liberty Unyeilding,questionable sources
Life News (www.lifenews.com),questionable sources
Life Site News (lifesitenews.com),questionable sources
Lindell TV (lindelltv.com),questionable sources
Litchfield Hills Today (litchfieldhillstoday.com),questionable sources
Live Leak (www.liveleak.com),questionable sources
London Web News (londonwebnews.com),questionable sources
Louder with Crowder (louderwithcrowder.com),questionable sources
Lowe Delta News (lowedeltanews.com),questionable sources
Lucianne.com (https://www.lucianne.com),questionable sources
Macon Times (macontimes.com),questionable sources
Mad World News (madworldnews.com),questionable sources
MAGA Daily Report (magadailyreport.com),questionable sources
MagaPill (www.magapill.com),questionable sources
Manatee Review (manateereview.com),questionable sources
Marin Leader (marinleader.com),questionable sources
Mat-Su (matsutimes.com),questionable sources
Mehr News Agency (en.mehrnews.com),questionable sources
Merced Times (mercedtimes.com),questionable sources
Mercopress (en.mercopress.com),questionable sources
Metapedia (en.metapedia.org),questionable sources
Metric Media (metricmedianews.com),questionable sources
Miami Courant (miamicourant.com),questionable sources
Middle American Democrat (https://middleamericandemocrat.com),questionable sources
Middle East Forum (www.meforum.org),questionable sources
Middle East Media Research Institute (Memri) (www.memri.org),questionable sources
Mixi.Media (mixi.media),questionable sources
Mobile Courant (mobilecourant.com),questionable sources
Mohave Today (mohavetoday.com),questionable sources
